,f,Z_re,Z_im
0,"[1.0, 1.0797751623277096, 1.1659144011798317, 1.2589254117941673, 1.3593563908785256, 1.4677992676220695, 1.5848931924611136, 1.7113283041617808, 1.847849797422291, 1.9952623149688795, 2.154434690031884, 2.326305067153626, 2.51188643150958, 2.712272579332028, 2.9286445646252366, 3.1622776601683795, 3.4145488738336014, 3.686945064519575, 3.9810717055349722, 4.298662347082277, 4.641588833612778, 5.011872336272722, 5.411695265464636, 5.843414133735175, 6.309573444801933, 6.812920690579613, 7.3564225445964135, 7.943282347242816, 8.576958985908941, 9.261187281287935, 10.0, 10.797751623277094, 11.659144011798316, 12.589254117941675, 13.593563908785255, 14.677992676220699, 15.848931924611133, 17.11328304161781, 18.478497974222908, 19.952623149688797, 21.544346900318832, 23.263050671536263, 25.118864315095795, 27.12272579332028, 29.286445646252357, 31.622776601683793, 34.145488738336006, 36.869450645195755, 39.810717055349734, 42.986623470822764, 46.4158883361278, 50.11872336272722, 54.116952654646376, 58.434141337351754, 63.09573444801933, 68.12920690579611, 73.56422544596414, 79.43282347242814, 85.76958985908941, 92.61187281287933, 100.0, 107.97751623277094, 116.59144011798311, 125.89254117941675, 135.93563908785256, 146.7799267622069, 158.48931924611142, 171.1328304161781, 184.78497974222907, 199.52623149688787, 215.44346900318845, 232.63050671536263, 251.18864315095797, 271.2272579332027, 292.8644564625237, 316.22776601683796, 341.4548873833601, 368.69450645195735, 398.1071705534973, 429.86623470822764, 464.15888336127773, 501.18723362727246, 541.1695265464638, 584.3414133735175, 630.957344480193, 681.2920690579615, 735.6422544596413, 794.3282347242813, 857.6958985908938, 926.1187281287937, 1000.0, 1079.7751623277093, 1165.9144011798312, 1258.9254117941675, 1359.3563908785254, 1467.799267622069, 1584.893192461114, 1711.328304161781, 1847.8497974222907, 1995.2623149688789, 2154.4346900318847, 2326.305067153626, 2511.88643150958, 2712.272579332027, 2928.6445646252373, 3162.2776601683795, 3414.5488738336007, 3686.9450645195734, 3981.0717055349733, 4298.662347082277, 4641.588833612777, 5011.87233627272, 5411.6952654646375, 5843.414133735175, 6309.57344480193, 6812.920690579615, 7356.422544596414, 7943.282347242814, 8576.958985908937, 9261.187281287937, 10000.0, 10797.751623277094, 11659.144011798311, 12589.254117941662, 13593.563908785241, 14677.992676220705, 15848.93192461114, 17113.28304161781, 18478.497974222908, 19952.62314968879, 21544.346900318822, 23263.05067153624, 25118.864315095823, 27122.725793320296, 29286.445646252374, 31622.776601683792, 34145.488738336004, 36869.450645195735, 39810.71705534969, 42986.62347082272, 46415.88833612782, 50118.72336272725, 54116.952654646375, 58434.14133735175, 63095.7344480193, 68129.20690579608, 73564.22544596407, 79432.82347242821, 85769.58985908946, 92611.87281287937, 100000.0, 107977.51623277094, 116591.4401179831, 125892.54117941661, 135935.6390878524, 146779.92676220706, 158489.3192461114, 171132.8304161781, 184784.97974222907, 199526.2314968879, 215443.46900318822, 232630.5067153624, 251188.6431509582, 271227.25793320296, 292864.4564625237, 316227.7660168379, 341454.88738336007, 368694.50645195734, 398107.1705534969, 429866.2347082272, 464158.8833612782, 501187.2336272725, 541169.5265464637, 584341.4133735176, 630957.344480193, 681292.0690579609, 735642.2544596406, 794328.2347242822, 857695.8985908945, 926118.7281287938, 1000000.0]","[1784.7429517788596, 1700.5399696142995, 1618.4110444912708, 1538.373824844679, 1460.4659573222877, 1384.7404015279776, 1311.2605956925165, 1240.0956461140422, 1171.315716130688, 1104.987779801303, 1041.171882623172, 979.9180190762521, 921.2636980472012, 865.2322261628094, 811.8316995418744, 761.0546596699351, 712.8783413303945, 667.2654210680964, 624.1651637811882, 583.5148621383187, 545.2414673807109, 509.2633191123912, 475.4918942133269, 443.83350942207073, 414.19092704308036, 386.46482755420766, 360.55512585687006, 336.3621190605827, 313.7874628165841, 292.7349803034582, 273.11131315360177, 254.82642711397745, 237.7939873232453, 221.9316190363121, 207.16106970051084, 193.40828772207215, 180.60343225993302, 168.68082711227981, 157.57887035014497, 147.23990990040897, 137.6100938586834, 128.6392029689165, 120.28047147124735, 112.49040140875064, 105.2285745031237, 98.45746485760273, 92.14225501616293, 86.25065729195963, 80.7527417640569, 75.62077191811582, 70.829048562369, 66.35376237388283, 62.17285521164385, 58.26589016320952, 54.613930162375695, 51.19942491940536, 48.00610583667831, 45.01888853590293, 42.223782593838536, 39.60780806810191, 37.1589183899714, 34.86592920463685, 32.71845274898405, 30.706837371083584, 28.822111812720635, 27.055933895493922, 25.400543271384635, 23.848717919600368, 22.393734092437466, 21.02932943350585, 19.74966901164988, 18.549314033085835, 17.423193012530824, 16.366575201342673, 15.375046086880886, 14.444484792427472, 13.571043221080668, 12.751126800083584, 11.98137669411005, 11.25865336714804, 10.580021382849157, 9.94273534260255, 9.3442268692006, 8.782092551843789, 8.2540827754394, 7.7580913637323095, 7.292145971817954, 6.8543991690706125, 6.443120158523223, 6.056687083293726, 5.693579874809885, 5.352373601372282, 5.0317322790474925, 4.730403110029962, 4.447211116479324, 4.181054140455118, 3.9308981829558283, 3.6957730572453555, 3.4747683336358657, 3.2670295547094943, 3.0717547016181004, 2.888190893614362, 2.715631304352513, 2.5534122797641956, 2.400910643475239, 2.257541176792576, 2.1227542612649675, 1.996033672715959, 1.876894516468335, 1.7648812942339358, 1.6595660938362777, 1.5605468935717017, 1.4674459736023664, 1.3799084273158493, 1.2976007660854738, 1.2202096113260357, 1.1474404681651371, 1.079016575443278, 1.0146778271193937, 0.95417976049486, 0.8972926069802467, 0.843800401417747, 0.7935001462396121, 0.7462010269910155, 0.7017236759761603, 0.659899481000294, 0.6205699363791077, 0.5835860335718281, 0.5488076889662898, 0.5161032065042788, 0.48534877298455104, 0.45642798401976736, 0.4292313987530213, 0.4036561215604096, 0.37960540907862794, 0.3569883010017759, 0.3357192731896274, 0.3157179117213116, 0.29690860661401075, 0.2792202640063203, 0.2625860356807599, 0.24694306486995987, 0.23223224735650483, 0.21839800693773248, 0.20538808438415068, 0.19315333907384877, 0.181647562535589, 0.17082730318040057, 0.16065170154563513, 0.15108233541684252, 0.14208307423159547, 0.13361994220576184, 0.12566098965682515, 0.11817617203081265, 0.11113723616940055, 0.10451761338189466, 0.09829231891318232, 0.0924378574235261, 0.08693213411931824, 0.08175437119573489, 0.0768850292727126, 0.07230573352489855, 0.06799920422428257, 0.06394919143117556, 0.06014041358510856, 0.056558499762194556, 0.053189935379525224, 0.050022011140371345, 0.04704277502634803, 0.044240987154342014, 0.04160607732693859, 0.03912810511535952, 0.03679772232357464, 0.03460613769132789, 0.032545083702337274, 0.030606785371941572, 0.02878393089599604, 0.027069644049893253, 0.02545745823323521, 0.02394129206193423, 0.022515426415393947]","[-2806.230816075108, -2683.824735256579, -2567.3039381919793, -2456.157579193499, -2349.92365073908, -2248.188863313763, -2150.5878327306073, -2056.8015404453827, -1966.5550790016846, -1879.6147399906004, -1795.7845416292098, -1714.902323842276, -1636.8355583141129, -1561.4770284761573, -1488.7405302854227, -1418.556730559022, -1350.8692979951004, -1285.631395662228, -1222.8025955091557, -1162.346247845672, -1104.2273137477953, -1048.410647286755, -994.8596980784434, -943.5355930512721, -894.396549256709, -847.3975664256766, -802.4903480713488, -759.6234024695215, -718.7422790587485, -679.7899010273936, -642.7069605429783, -607.432348804418, -573.9035985532731, -542.0573216644037, -511.829628834906, -483.1565221560096, -455.97425448806786, -430.2196520997354, -405.83039903523473, -382.74528320501685, -360.9044053251275, -340.2493526271859, -320.72333978715, -302.271319833131, -284.84006793912465, -268.3782410336503, -252.83641608389775, -238.16710978438505, -224.32478220612842, -211.26582676467388, -198.94854865590293, -187.3331336967052, -176.38160930023793, -166.05779911721456, -156.32727268852264, -147.15729128224297, -138.51675093067587, -130.37612354042753, -122.70739682065222, -115.48401366055711, -108.68081148635684, -102.27396203908849, -96.2409119369896, -90.5603243184982, -85.21202180331643, -80.17693095843963, -75.4370284126822, -70.97528872618821, -66.7756340899445, -62.822885903718685, -59.102718258504666, -55.60161333091672, -52.30681868153478, -49.206306436535655, -46.288734321654836, -43.54340850928029, -40.96024823298038, -38.52975211876151, -36.24296617860542, -34.091453409159556, -32.06726493667864, -30.162912648290465, -28.371343249264598, -26.685913686082863, -25.100367875659565, -23.608814681951415, -22.205707082370086, -20.885822467796466, -19.644244021560038, -18.476343124431082, -17.377762734456343, -16.34440169231143, -15.372399904725324, -14.458124360431718, -13.598155935001003, -12.789276942792666, -12.028459396127737, -11.312853933607094, -10.639779381284619, -10.006712912140607, -9.41128077098497, -8.851249533548245, -8.324517870090244, -7.82910878536858, -7.363162308262124, -6.924928605738323, -6.512761497186164, -6.125112346412877, -5.760524309818873, -5.417626920426945, -5.095130988547247, -4.791823800912282, -4.5065646011165414, -4.238280335146082, -3.9859616466861283, -3.7486591077505147, -3.5254796709891094, -3.3155833307980718, -3.1181799810866355, -2.932526458243749, -2.757923758500085, -2.5937144194984576, -2.4392800564690162, -2.294039043956911, -2.1574443345713616, -2.02898140671699, -1.9081663337329582, -1.7945439673041306, -1.68768622842245, -1.58719049956719, -1.4926781121413908, -1.403792923549179, -1.3201999786263907, -1.2415842504460164, -1.167649455811032, -1.0981169410219496, -1.0327246337649574, -0.9712260572103536, -0.9133894026407123, -0.8589966571445372, -0.8078427831149695, -0.759734946485163, -0.7144917908126266, -0.671942754495167, -0.6319274285613463, -0.5942949526293024, -0.5589034467698911, -0.5256194771439211, -0.4943175534091332, -0.46487965601118514, -0.43719479158442753, -0.41115857479330337, -0.38667283504405875, -0.3636452465894198, -0.34198898063648087, -0.32162237815039907, -0.3024686421240063, -0.2844555481563899, -0.26751517225212923, -0.2515836348174446, -0.2366008598902748, -0.22251034869845532, -0.2092589666939573, -0.19679674326175228, -0.18507668334943367, -0.1740545903085553, -0.16368889928073427, -0.1539405205012115, -0.14477269192984843, -0.13615084065459143, -0.12804245254544086, -0.120416949667983, -0.1132455749947295, -0.10650128397997938, -0.10015864258973137, -0.09419373140247081, -0.08858405541951087, -0.08330845924505344, -0.07834704731635236, -0.07368110888337795, -0.06929304745526563]"
1,"[1.0, 1.0797751623277096, 1.1659144011798317, 1.2589254117941673, 1.3593563908785256, 1.4677992676220695, 1.5848931924611136, 1.7113283041617808, 1.847849797422291, 1.9952623149688795, 2.154434690031884, 2.326305067153626, 2.51188643150958, 2.712272579332028, 2.9286445646252366, 3.1622776601683795, 3.4145488738336014, 3.686945064519575, 3.9810717055349722, 4.298662347082277, 4.641588833612778, 5.011872336272722, 5.411695265464636, 5.843414133735175, 6.309573444801933, 6.812920690579613, 7.3564225445964135, 7.943282347242816, 8.576958985908941, 9.261187281287935, 10.0, 10.797751623277094, 11.659144011798316, 12.589254117941675, 13.593563908785255, 14.677992676220699, 15.848931924611133, 17.11328304161781, 18.478497974222908, 19.952623149688797, 21.544346900318832, 23.263050671536263, 25.118864315095795, 27.12272579332028, 29.286445646252357, 31.622776601683793, 34.145488738336006, 36.869450645195755, 39.810717055349734, 42.986623470822764, 46.4158883361278, 50.11872336272722, 54.116952654646376, 58.434141337351754, 63.09573444801933, 68.12920690579611, 73.56422544596414, 79.43282347242814, 85.76958985908941, 92.61187281287933, 100.0, 107.97751623277094, 116.59144011798311, 125.89254117941675, 135.93563908785256, 146.7799267622069, 158.48931924611142, 171.1328304161781, 184.78497974222907, 199.52623149688787, 215.44346900318845, 232.63050671536263, 251.18864315095797, 271.2272579332027, 292.8644564625237, 316.22776601683796, 341.4548873833601, 368.69450645195735, 398.1071705534973, 429.86623470822764, 464.15888336127773, 501.18723362727246, 541.1695265464638, 584.3414133735175, 630.957344480193, 681.2920690579615, 735.6422544596413, 794.3282347242813, 857.6958985908938, 926.1187281287937, 1000.0, 1079.7751623277093, 1165.9144011798312, 1258.9254117941675, 1359.3563908785254, 1467.799267622069, 1584.893192461114, 1711.328304161781, 1847.8497974222907, 1995.2623149688789, 2154.4346900318847, 2326.305067153626, 2511.88643150958, 2712.272579332027, 2928.6445646252373, 3162.2776601683795, 3414.5488738336007, 3686.9450645195734, 3981.0717055349733, 4298.662347082277, 4641.588833612777, 5011.87233627272, 5411.6952654646375, 5843.414133735175, 6309.57344480193, 6812.920690579615, 7356.422544596414, 7943.282347242814, 8576.958985908937, 9261.187281287937, 10000.0, 10797.751623277094, 11659.144011798311, 12589.254117941662, 13593.563908785241, 14677.992676220705, 15848.93192461114, 17113.28304161781, 18478.497974222908, 19952.62314968879, 21544.346900318822, 23263.05067153624, 25118.864315095823, 27122.725793320296, 29286.445646252374, 31622.776601683792, 34145.488738336004, 36869.450645195735, 39810.71705534969, 42986.62347082272, 46415.88833612782, 50118.72336272725, 54116.952654646375, 58434.14133735175, 63095.7344480193, 68129.20690579608, 73564.22544596407, 79432.82347242821, 85769.58985908946, 92611.87281287937, 100000.0, 107977.51623277094, 116591.4401179831, 125892.54117941661, 135935.6390878524, 146779.92676220706, 158489.3192461114, 171132.8304161781, 184784.97974222907, 199526.2314968879, 215443.46900318822, 232630.5067153624, 251188.6431509582, 271227.25793320296, 292864.4564625237, 316227.7660168379, 341454.88738336007, 368694.50645195734, 398107.1705534969, 429866.2347082272, 464158.8833612782, 501187.2336272725, 541169.5265464637, 584341.4133735176, 630957.344480193, 681292.0690579609, 735642.2544596406, 794328.2347242822, 857695.8985908945, 926118.7281287938, 1000000.0]","[25012493.38665163, 22902715.904061936, 20852064.274192978, 18881033.26861638, 17006777.75137802, 15242666.961308196, 13598127.813977584, 12078749.72237589, 10686599.33693604, 9420681.430105029, 8277481.0955883665, 7251529.776668675, 6335949.912977288, 5522946.955643545, 4804230.69975403, 4171358.8498433437, 3616003.872016615, 3130149.532427075, 2706226.4844072633, 2337197.406734269, 2016602.078588181, 1738571.8895177888, 1497822.0010238606, 1289627.964650192, 1109792.2287845744, 954604.7282722015, 820800.6910057877, 705517.9235866449, 606255.1436111822, 520832.38849578047, 447354.12548251235, 384175.3900255978, 329871.0676974169, 283208.2886773179, 243121.8076914982, 208692.18298440689, 179126.53532176846, 153741.65429769907, 131949.21840577413, 113242.90302575854, 97187.16345555257, 83407.49607709008, 71581.99807092424, 61434.06368579299, 52726.07220188869, 45253.938947090784, 38842.41577461499, 33341.04116351917, 28620.65252701142, 24570.38443441544, 21095.086335631895, 18113.102108495346, 15554.361426941725, 13358.73967212178, 11474.64897873141, 9857.828119484837, 8470.30336999458, 7279.4963451806825, 6257.4581298885105, 5380.211906264005, 4627.188766993875, 3980.743548387417, 3425.7393658752108, 2949.191126628004, 2539.959664413896, 2188.489320784007, 1886.582810506341, 1627.2080806601994, 1404.332621703989, 1212.7813322065547, 1048.1145915255058, 906.5236692410326, 784.7410075694995, 679.9632627275571, 589.7852914196851, 512.143526270903, 445.2674051331186, 387.6377089262212, 337.9508254742015, 295.0880964776962, 258.0895246042138, 226.1312204899733, 198.50605764878216, 174.60707894784616, 153.9132632181014, 135.97731624554172, 120.41519815135017, 106.89714013760295, 95.13993871739686, 84.90034569179937, 75.96939799177171, 68.16755368087675, 61.34051943725007, 55.35567114969966, 50.098983257852325, 45.47239447018303, 41.39154778979793, 37.78385160895478, 34.5868162079136, 31.74662649057496, 29.216917361823285, 26.957722931072592, 24.934574826022963, 23.11772841684402, 21.481498766900227, 20.003690712913464, 18.665109696175733, 17.44914186945791, 16.341393636519012, 15.329382181143778, 14.402269743460856, 13.550635431270257, 12.766279237544294, 12.042053693012868, 11.37171923268725, 10.74981991265516, 10.171576591650174, 9.632795102046554, 9.129787286733729, 8.659303080085277, 8.218472070075764, 7.804753200621791, 7.4158914636694035, 7.04988059391189, 6.704930919152401, 6.3794416395304205, 6.071976911945409, 5.781245204464529, 5.506081461382237, 5.245431684693781, 4.9983395935887, 4.763935071479031, 4.541424151178818, 4.330080324115264, 4.129236989707511, 3.938280887008855, 3.7566463729827633, 3.583810430897175, 3.4192883087237003, 3.2626297015043813, 3.1134154037296655, 2.9712543681399355, 2.8357811162635183, 2.7066534536444355, 2.5835504492728334, 2.4661706443633187, 2.354230460462855, 2.2474627810238226, 2.145615684145923, 2.048451307255848, 1.9557448271277678, 1.8672835409113782, 1.782866035780335, 1.7023014364872477, 1.6254087215506063, 1.5520161000373123, 1.4819604419702168, 1.4150867563075937, 1.3512477112319239, 1.2903031921663273, 1.2321198935242679, 1.1765709407046905, 1.1235355392820026, 1.0728986487180328, 1.0245506782495266, 0.9783872028872829, 0.9343086977075342, 0.8922202888281475, 0.8520315196462237, 0.8136561310733652, 0.7770118546438856, 0.7420202174922481, 0.7086063583015596, 0.676698853417218, 0.6462295524004378, 0.6171334223671542, 0.5893484005199516, 0.5628152543353421, 0.5374774489169253, 0.5132810210676754, 0.4901744596723325]","[-27947612.064123333, -27631544.471493706, -27164247.737228554, -26558575.771085463, -25830412.833269607, -24997719.695019867, -24079554.84207993, -23095158.18479281, -22063162.859959442, -21000974.319881685, -19924330.3802312, -18847035.01959331, -17780844.315056406, -16735475.078756642, -15718704.506572232, -14736530.90822502, -13793369.758433357, -12892264.542561494, -12035097.191028617, -11222787.700371008, -10455476.527033558, -9732686.432172997, -9053462.706036951, -8416492.231833756, -7820202.807963631, -7262844.6764877625, -6742556.428878293, -6257417.477894878, -5805489.173741635, -5384846.459487927, -4993601.744042947, -4629922.44651924, -4292043.44961211, -3978275.5007485426, -3687010.422591864, -3416723.840325545, -3165976.0013864334, -2933411.15230585, -2717755.844853136, -2517816.4673939105, -2332476.234951796, -2160691.820738478, -2001489.770958335, -1853962.8118101147, -1717266.1313509487, -1590613.6980327556, -1473274.6612458508, -1364569.8662624175, -1263868.5058683644, -1170584.9231377782, -1084175.5737786458, -1004136.1518885257, -929998.8795039603, -861329.9577664342, -797727.1756673924, -738817.6710214192, -684255.8374273578, -633721.370414856, -586917.4456614701, -543569.0220424606, -503421.26229393185, -466238.06419268606, -431800.69535380014, -399906.5249969008, -370367.84631679236, -343010.78340010263, -317674.2769466967, -294209.14337502315, -272477.2022086098, -252350.4669524116, -233710.39496962313, -216447.1921598842, -200459.16851716253, -185652.1409092266, -171938.8796701272, -159238.59583245666, -147476.46604749345, -136583.1924490284, -126494.59491114512, -117151.23333203718, -108498.0577456716, -100484.0842213713, -93062.09465880612, -86188.35872308804, -79822.37629227455, -73926.63890818664, -68466.40883163207, -63409.514405435446, -58726.16052364298, -54388.75309339098, -50371.73645767148, -46651.44282304152, -43205.952806620975, -40014.9662818933, -37059.68276323532, -34322.69062509031, -31787.864503587803, -29440.270276491992, -27266.07706191167, -25252.475717479832, -23387.603359950273, -21660.473460583966, -20060.911104513492, -18579.493032673774, -17207.492113044093, -15936.825914029392, -14760.009076966653, -13670.109207119145, -12660.706023246074, -11725.853525031314, -10860.044955433548, -10058.180351487035, -9315.536492332745, -8627.739067384386, -7990.73690061563, -7400.778079070598, -6854.387844920431, -6348.348120780956, -5879.678547631271, -5445.618923586432, -5043.612940033088, -4671.293119282068, -4326.466864972942, -4007.1035430230636, -3711.3225169869106, -3437.382067316126, -3183.6691292197966, -2948.689788648582, -2731.0604803944725, -2529.4998364354597, -2342.821136486671, -2169.9253162684954, -2009.7944922889922, -1861.4859649819555, -1724.1266648609546, -1596.9080089607223, -1479.0811372549879, -1369.95250097933, -1268.8797768614054, -1175.2680831816247, -1088.5664753660697, -1008.2647004608453, -933.8901913626271, -865.0052830932082, -801.2046347142917, -742.112841690706, -687.3822246325489, -636.69078138618, -589.7402904066283, -546.2545542354704, -505.97777273391955, -468.6730364854841, -434.12093149073144, -402.1182469325309, -372.47677839753806, -345.0222195021989, -319.5931353925148, -296.04001206926574, -274.2243759372399, -254.01797839080783, -235.30204063144046, -217.96655426769274, -201.9096335768855, -187.03691561214507, -173.2610046203858, -160.50095749794036, -148.68180725234473, -137.7341216627432, -127.59359453878318, -118.2006671699523, -109.50017773520433, -101.44103660747102, -93.97592564023276, -87.0610196646364, -80.65572855650755, -74.72245835381005, -69.22639001735033, -64.13527453147731, -59.419243137804315, -55.05063158413767, -51.003817353377634]"
